Customer_ID,Weeknum,Product,Customer_Number,Sum_Quantity,Avg_Price_Change,Avg_Price_Change_1,Sum_Quantity_1_minus_Sum_Quantity,Avg_Quantity_for_Week,Avg_Quantity_for_PO,All_week,Count_week_PO,Standard_Price,Above_Standard_Price,Below_Standard_Price,Total_Quantity_for_Customer,Total_Quantity,Holiday,Temp_Hi,Temp_Lo,Temp_Rain,Frequency_PO,Sum_Quantity_1_Y
0.0106,14,7290000408354,416000010,24,2.97,2.97,-24,10,21,21,10,2.97,0,0,134894,12757437,1,25.71,13.43,0,2.1,0
0.0106,15,7290000408354,416000010,0,2.97,2.97,56,10,21,21,10,2.97,0,1,134894,12757437,1,23.43,14.57,1,2.1,56
0.0106,16,7290000408354,416000010,56,2.97,2.97,-56,10,21,21,10,2.97,0,0,134894,12757437,1,26.86,17.57,0,2.1,0
0.0106,17,7290000408354,416000010,0,2.97,2.97,24,10,21,21,10,2.97,0,1,134894,12757437,0,24.14,15.29,1,2.1,24
0.0106,18,7290000408354,416000010,24,2.97,2.97,0,10,21,21,10,2.97,0,0,134894,12757437,1,34,21,0,2.1,24
0.0106,19,7290000408354,416000010,24,2.97,2.97,-24,10,21,21,10,2.97,0,0,134894,12757437,0,27.29,18.29,0,2.1,0
0.0106,21,7290000408354,416000010,0,2.97,2.97,6,10,21,21,10,2.97,0,1,134894,12757437,1,33.14,21.14,0,2.1,6
0.0106,22,7290000408354,416000010,6,2.97,2.97,20,10,21,21,10,2.97,0,0,134894,12757437,0,28.43,21.29,0,2.1,26
0.0106,23,7290000408354,416000010,26,2.97,2.97,-26,10,21,21,10,2.97,0,0,134894,12757437,0,29.71,21.43,0,2.1,0
0.0106,26,7290000408354,416000010,0,2.97,2.97,12,10,21,21,10,2.97,0,1,134894,12757437,1,26.29,19.57,0,2.1,12
0.0106,27,7290000408354,416000010,12,2.97,2.97,-12,10,21,21,10,2.97,0,0,134894,12757437,0,31.43,23.14,0,2.1,0
0.0106,29,7290000408354,416000010,0,2.97,2.97,24,10,21,21,10,2.97,0,1,134894,12757437,1,32,24.43,0,2.1,24
0.0106,30,7290000408354,416000010,24,2.97,2.97,-24,10,21,21,10,2.97,0,0,134894,12757437,0,33,24.71,0,2.1,0
0.0106,31,7290000408354,416000010,0,2.97,2.97,6,10,21,21,10,2.97,0,1,134894,12757437,0,31.71,24.14,0,2.1,6
0.0106,32,7290000408354,416000010,6,2.97,2.97,-6,10,21,21,10,2.97,0,0,134894,12757437,0,32,25.14,0,2.1,0
0.0106,33,7290000408354,416000010,0,2.97,2.75,8,10,21,21,10,2.97,0,1,134894,12757437,0,31.57,24.29,0,2.1,8
0.0106,34,7290000408354,416000010,8,2.75,2.75,-2,10,21,21,10,2.97,0,1,134894,12757437,0,31.57,24.43,0,2.1,6
0.0125,11,7290000408354,416000011,24,2.97,2.97,-24,25.61,29.45,23,20,2.97,0,0,159693,12757437,0,21.57,11.29,0,1.15,0
0.0125,13,7290000408354,416000011,0,2.97,2.97,72,25.61,29.45,23,20,2.97,0,1,159693,12757437,1,24.86,14.43,0,1.15,72
0.0125,14,7290000408354,416000011,72,2.97,2.97,0,25.61,29.45,23,20,2.97,0,0,159693,12757437,1,25.71,13.43,0,1.15,24
0.0125,15,7290000408354,416000011,24,2.97,2.97,0,25.61,29.45,23,20,2.97,0,0,159693,12757437,1,23.43,14.57,1,1.15,24
0.0125,16,7290000408354,416000011,24,2.97,2.97,0,25.61,29.45,23,20,2.97,0,0,159693,12757437,1,26.86,17.57,0,1.15,24
0.0125,17,7290000408354,416000011,24,2.97,2.97,0,25.61,29.45,23,20,2.97,0,0,159693,12757437,0,24.14,15.29,1,1.15,24
0.0125,18,7290000408354,416000011,24,2.97,2.97,-24,25.61,29.45,23,20,2.97,0,0,159693,12757437,1,34,21,0,1.15,0
0.0125,19,7290000408354,416000011,0,2.97,2.97,24,25.61,29.45,23,20,2.97,0,1,159693,12757437,0,27.29,18.29,0,1.15,24
0.0125,20,7290000408354,416000011,24,2.97,2.97,0,25.61,29.45,23,20,2.97,0,0,159693,12757437,1,31.86,19,0,1.15,24
0.0125,21,7290000408354,416000011,24,2.97,2.97,11,25.61,29.45,23,20,2.97,0,0,159693,12757437,1,33.14,21.14,0,1.15,35
